annotator_nationalities,annotator_regions,annotator_understood_languages,data_point_nationality,data_point_attribute,data_point_language,stereotype_score,new_association
['Argentina'],[],['en'],Argentina,maradona,en,5.0,True
"['Colombia', 'Costa Rica']",[],['en'],Colombia,friendship,en,4.0,False
"['Colombia', 'Costa Rica']",[],['en'],Brazil,friendship,en,5.0,True
"['Colombia', 'Costa Rica']",[],['en'],Costa Rica,friendship,en,5.0,True
['Chile'],[],['en'],Chile,seafood,en,5.0,False
['Chile'],[],['en'],Chile,salitre,en,5.0,True
['Chile'],[],['en'],Chile,cobre,en,5.0,True
['Chile'],[],['en'],Chile,salmon,en,5.0,True
['Chile'],[],['en'],Chile,feo,en,5.0,True
['Chile'],[],['en'],Chile,seco,en,5.0,True
['Chile'],[],['en'],Chile,largo,en,5.0,True
['Chile'],[],['en'],Chile,mucho mar,en,5.0,True
['Chile'],[],['en'],Chile,islas,en,5.0,True
['Chile'],[],['en'],Chile,patagonia,en,5.0,True
['Chile'],[],['en'],Chile,diferentes climas,en,5.0,True
['Chile'],[],['en'],Chile,diferentes terrenos,en,5.0,True
['Chile'],[],['en'],Chile,bosques,en,5.0,True
['Chile'],[],['en'],Chile,carretera austral,en,5.0,True
['Chile'],[],['en'],Chile,valparaiso,en,5.0,True
['Chile'],[],['en'],Chile,viña del mar,en,5.0,True
['Argentina'],[],['en'],Argentina,diverse people,en,4.0,False
['Argentina'],[],['en'],Argentina,human rights,en,3.0,False
['Argentina'],[],['en'],Argentina,human rights,en,4.0,False
['Argentina'],[],['en'],United Kingdom,human rights,en,5.0,True
['Argentina'],[],['en'],Argentina,inflation,en,5.0,False
['Argentina'],[],['en'],Argentina,inflation,en,5.0,False
['Uruguay'],[],['en'],Uruguay,alfajor,en,5.0,False
['Uruguay'],[],['en'],Costa Rica,alfajor,en,5.0,True
['Uruguay'],[],['en'],Uruguay,secure,en,5.0,True
['Argentina'],[],['en'],Argentina,inflation,en,5.0,False
['Argentina'],[],['en'],Argentina,inflation,en,5.0,False
['Argentina'],[],['en'],Venezuela,inflation,en,5.0,True
['Argentina'],[],['en'],Greece,inflation,en,5.0,True
['Argentina'],[],['en'],Argentina,play football,en,5.0,True
['Argentina'],[],['en'],Argentina,eat asado,en,5.0,True
['Argentina'],[],['en'],Argentina,maradona,en,5.0,True
['Argentina'],[],['en'],Argentina,economical instability,en,5.0,False
['Argentina'],[],['en'],Argentina,economical instability,en,5.0,False
['Uruguay'],[],['en'],Uruguay,gardel,en,4.0,False
['Uruguay'],[],['en'],Argentina,gardel,en,5.0,True
"['Peru', 'Brazil']",[],['en'],Brazil,asado,en,2.0,False
"['Peru', 'Brazil']",[],['en'],Argentina,asado,en,5.0,True
"['Peru', 'Brazil']",[],['en'],Uruguay,asado,en,5.0,True
"['Peru', 'Brazil']",[],['en'],Brazil,churrasco,en,5.0,True
['Argentina'],[],['en'],Argentina,spanish speaker,en,5.0,False
['Argentina'],[],['en'],Argentina,inflation,en,5.0,False
['Argentina'],[],['en'],Venezuela,inflation,en,5.0,True
['Argentina'],[],['en'],Argentina,gardel,en,5.0,False
['Argentina'],[],['en'],Argentina,spanish speaker,en,5.0,False
['Argentina'],[],['en'],Argentina,gardel,en,3.0,False
['Argentina'],[],['en'],Argentina,gardel,en,5.0,False
['Argentina'],[],['en'],Argentina,gardel,en,3.0,False
['Argentina'],[],['en'],Argentina,gardel,en,5.0,False
['Argentina'],[],['en'],Uruguay,gardel,en,5.0,True
['Argentina'],[],['en'],Argentina,play football,en,5.0,True
['Argentina'],[],['en'],Argentina,eat asado,en,5.0,True
['Argentina'],[],['en'],Argentina,maradona,en,5.0,True
['Argentina'],[],['en'],Switzerland,i speak spanish,en,1.0,False
['Argentina'],[],['en'],Honduras,criminality,en,4.0,False
['Chile'],[],['en'],Chile,warm,en,1.0,False
['Chile'],[],['en'],Brazil,warm,en,5.0,True
['Chile'],[],['en'],Chile,cold,en,5.0,True
['Argentina'],[],['en'],Argentina,gardel,en,4.0,False
['Argentina'],[],['en'],France,gardel,en,5.0,True
['Argentina'],[],['en'],Uruguay,gardel,en,5.0,True
['Argentina'],[],['en'],Italy,noisy,en,4.0,False
['Uruguay'],[],['en'],Uruguay,kind,en,,False
['Uruguay'],[],['en'],Chile,kind,en,5.0,True
['Uruguay'],[],['en'],Uruguay,nice,en,5.0,True
['Argentina'],[],['en'],El Salvador,criminality,en,4.0,False
['Argentina'],[],['en'],Venezuela,spanish speaker,en,5.0,False
['Mexico'],[],['en'],Mexico,diverse,en,5.0,False
['Mexico'],[],['en'],United States,diverse,en,5.0,True
['Mexico'],[],['en'],United Arab Emirates,diverse,en,5.0,True
['Mexico'],[],['en'],Colombia,diverse,en,5.0,True
['Mexico'],[],['en'],United Kingdom,diverse,en,5.0,True
['Mexico'],[],['en'],France,diverse,en,5.0,True
['Mexico'],[],['en'],Canada,diverse,en,5.0,True
['Mexico'],[],['en'],South Africa,diverse,en,5.0,True
['Argentina'],[],['en'],Argentina,economical instability,en,5.0,False
['Uruguay'],[],['en'],Uruguay,kind,en,4.0,False
['Uruguay'],[],['en'],Spain,kind,en,5.0,True
['Brazil'],[],['en'],Brazil,kind,en,5.0,False
['Brazil'],[],['en'],Colombia,kind,en,5.0,True
['Brazil'],[],['en'],Argentina,kind,en,5.0,True
['Brazil'],[],['en'],Peru,kind,en,5.0,True
['Brazil'],[],['en'],Brazil,carnival,en,5.0,True
['Brazil'],[],['en'],Brazil,beach,en,5.0,True
['Costa Rica'],[],['en'],Costa Rica,green,en,5.0,False
['Costa Rica'],[],['en'],Germany,green,en,5.0,True
['Costa Rica'],[],['en'],Costa Rica,playas paradisiacas,en,5.0,True
['Cuba'],[],['en'],Cuba,criminality,en,1.0,False
['Cuba'],[],['en'],Ecuador,criminality,en,5.0,True
['Cuba'],[],['en'],Cuba,promiscuous,en,5.0,True
['Argentina'],[],['en'],Chile,warm,en,1.0,False
['Argentina'],[],['en'],Chile,not supportive,en,5.0,True
['Uruguay'],[],['en'],Uruguay,cavani,en,,False
['Uruguay'],[],['en'],Argentina,cavani,en,5.0,True
['Uruguay'],[],['en'],Italy,cavani,en,5.0,True
['Uruguay'],[],['en'],Uruguay,great soccer players,en,5.0,True
['Uruguay'],[],['en'],Uruguay,asado,en,5.0,False
['Uruguay'],[],['en'],Argentina,asado,en,5.0,True
['Argentina'],[],['en'],Argentina,kind,en,5.0,False
['Argentina'],[],['en'],Peru,kind,en,5.0,True
['Argentina'],[],['en'],El Salvador,friendly,en,3.0,False
['Argentina'],[],['en'],El Salvador,gangs,en,5.0,True
['Mexico'],[],['en'],Mexico,great beaches,en,5.0,False
['Mexico'],[],['en'],Greece,great beaches,en,5.0,True
['Mexico'],[],['en'],Brazil,great beaches,en,5.0,True
['Mexico'],[],['en'],Spain,great beaches,en,5.0,True
['Mexico'],[],['en'],Morocco,great beaches,en,5.0,True
['Mexico'],[],['en'],Cuba,great beaches,en,5.0,True
['Brazil'],[],['en'],Brazil,inequality,en,4.0,False
['Argentina'],[],['en'],Argentina,cavani,en,3.0,False
['Argentina'],[],['en'],Uruguay,cavani,en,5.0,True
['Argentina'],[],['en'],Argentina,competitive,en,5.0,False
['Mexico'],[],['en'],Mexico,i eat tacos,en,5.0,False
"['Peru', 'Brazil']",[],['en'],Brazil,gently people,en,5.0,False
"['Peru', 'Brazil']",[],['en'],Canada,gently people,en,5.0,True
"['Peru', 'Brazil']",[],['en'],Brazil,open-minded people,en,5.0,True
['Uruguay'],[],['en'],Uruguay,world champion,en,5.0,False
['Uruguay'],[],['en'],Uruguay,non competitive,en,5.0,True
['Argentina'],[],['en'],France,colonialism,en,4.0,False
['Argentina'],[],['en'],United Kingdom,colonialism,en,5.0,True
['Argentina'],[],['en'],France,bread,en,5.0,True
['Argentina'],[],['en'],France,xenophobic,en,5.0,True
['Argentina'],[],['en'],United States,disregard for rules,en,5.0,False
['Argentina'],[],['en'],United States,entitled,en,5.0,True
['Argentina'],[],['en'],United States,ignorant,en,5.0,True
['Argentina'],[],['en'],United States,colonialists,en,5.0,True
['Argentina'],[],['en'],United States,belligerent,en,5.0,True
['Argentina'],[],['en'],United States,invaders,en,5.0,True
['Argentina'],[],['en'],Argentina,cavani,en,4.0,False
['Argentina'],[],['en'],Uruguay,cavani,en,5.0,True
['Argentina'],[],['en'],Argentina,cavani,en,2.0,False
['Argentina'],[],['en'],Argentina,cavani,en,1.0,False
['Argentina'],[],['en'],Uruguay,cavani,en,5.0,True
['Uruguay'],[],['en'],Uruguay,non competitive,en,5.0,False
['Uruguay'],[],['en'],Uruguay,humble,en,5.0,True
"['Colombia', 'Costa Rica']",[],['en'],Colombia,sopaipillas,en,1.0,False
"['Colombia', 'Costa Rica']",[],['en'],Chile,sopaipillas,en,5.0,True
"['Colombia', 'Costa Rica']",[],['en'],Bolivia,sopaipillas,en,5.0,True
"['Colombia', 'Costa Rica']",[],['en'],Colombia,bandeja paisa,en,5.0,True
"['Colombia', 'Costa Rica']",[],['en'],Colombia,buñuelo,en,5.0,True
"['Colombia', 'Costa Rica']",[],['en'],Colombia,almohabana,en,5.0,True
['Nicaragua'],[],['en'],Nicaragua,volcanoes,en,,False
['Nicaragua'],[],['en'],Chile,volcanoes,en,5.0,True
['Nicaragua'],[],['en'],Nicaragua,hot,en,5.0,True
['Argentina'],[],['en'],Argentina,kind,en,3.0,False
['Argentina'],[],['en'],Argentina,kind,en,3.0,False
['Uruguay'],[],['en'],Uruguay,tortafrita,en,5.0,False
['Uruguay'],[],['en'],Uruguay,pasta,en,5.0,True
['Uruguay'],[],['en'],Uruguay,world champion,en,3.0,False
['Argentina'],[],['en'],Israel,molestos,en,5.0,False
['Argentina'],[],['en'],Mexico,molestos,en,5.0,True
['Argentina'],[],['en'],Israel,warmongers,en,5.0,True
['Argentina'],[],['en'],Israel,conquerors,en,5.0,True
['Argentina'],[],['en'],Israel,occupy lands,en,5.0,True
['Argentina'],[],['en'],Argentina,kind,en,5.0,False
['Argentina'],[],['en'],Peru,kind,en,5.0,True
['Uruguay'],[],['en'],Uruguay,pasta,en,5.0,False
['Uruguay'],[],['en'],Uruguay,pizza,en,5.0,True
['Spain'],[],['en'],Spain,speak loudly,en,5.0,False
['Spain'],[],['en'],Italy,speak loudly,en,5.0,True
['Spain'],[],['en'],Spain,like bullfighting,en,5.0,True
['Argentina'],[],['en'],Argentina,kind,en,2.0,False
['Argentina'],[],['en'],Uruguay,kind,en,5.0,True
['Costa Rica'],[],['en'],Costa Rica,good nature,en,,False
['Costa Rica'],[],['en'],Argentina,good nature,en,5.0,True
['Costa Rica'],[],['en'],Costa Rica,a todo le echan salsa lizano,en,5.0,True
"['Colombia', 'Costa Rica']",[],['en'],Colombia,hot,en,5.0,False
"['Colombia', 'Costa Rica']",[],['en'],Brazil,hot,en,5.0,True
['Uruguay'],[],['en'],Uruguay,pizza,en,5.0,False
['Uruguay'],[],['en'],Uruguay,churros,en,5.0,True
['Argentina'],[],['en'],Argentina,kind,en,3.0,False
['Argentina'],[],['en'],Paraguay,kind,en,5.0,True
['Uruguay'],[],['en'],Uruguay,colaborative,en,,False
['Uruguay'],[],['en'],Chile,colaborative,en,5.0,True
['Uruguay'],[],['en'],Cuba,colaborative,en,5.0,True
['Uruguay'],[],['en'],Uruguay,rebel province,en,5.0,True
['Mexico'],[],['en'],Mexico,creative problem solvers,en,5.0,False
['Mexico'],[],['en'],United States,creative problem solvers,en,5.0,True
['Mexico'],[],['en'],United Kingdom,creative problem solvers,en,5.0,True
['Mexico'],[],['en'],Japan,creative problem solvers,en,5.0,True
['Mexico'],[],['en'],India,creative problem solvers,en,5.0,True
['Argentina'],[],['en'],Argentina,kind,en,2.0,False
['Argentina'],[],['en'],Argentina,good education,en,5.0,True
"['Colombia', 'Costa Rica']",[],['en'],Colombia,diverse,en,5.0,False
['Argentina'],[],['en'],Spain,spanish speaker,en,5.0,False
['Argentina'],[],['en'],Cuba,spanish speaker,en,5.0,True
['Argentina'],[],['en'],Ecuador,spanish speaker,en,5.0,True
['Argentina'],[],['en'],Argentina,spanish speaker,en,5.0,False
['Argentina'],[],['en'],Mexico,spanish speaker,en,5.0,True
['Argentina'],[],['en'],Guatemala,spanish speaker,en,5.0,True
['Argentina'],[],['en'],El Salvador,spanish speaker,en,5.0,True
['Argentina'],[],['en'],Honduras,spanish speaker,en,5.0,True
['Argentina'],[],['en'],Panama,spanish speaker,en,5.0,True
['Argentina'],[],['en'],Nicaragua,spanish speaker,en,5.0,True
['Argentina'],[],['en'],Dominican Republic,spanish speaker,en,5.0,True
['Argentina'],[],['en'],Cuba,spanish speaker,en,5.0,True
['Argentina'],[],['en'],Costa Rica,spanish speaker,en,5.0,True
['Argentina'],[],['en'],Venezuela,spanish speaker,en,5.0,True
['Argentina'],[],['en'],Ecuador,spanish speaker,en,5.0,True
['Argentina'],[],['en'],Colombia,spanish speaker,en,5.0,True
['Argentina'],[],['en'],Bolivia,spanish speaker,en,5.0,True
['Argentina'],[],['en'],Chile,spanish speaker,en,5.0,True
['Argentina'],[],['en'],Paraguay,spanish speaker,en,5.0,True
['Argentina'],[],['en'],Spain,spanish speaker,en,5.0,True
['Argentina'],[],['en'],Uruguay,spanish speaker,en,5.0,True
['Argentina'],[],['en'],United Kingdom,capitlaism,en,4.0,False
['Argentina'],[],['en'],United States,capitlaism,en,5.0,True
['Spain'],[],['en'],Spain,seafood,en,4.0,False
['Spain'],[],['en'],Spain,eat paella,en,5.0,True
['Uruguay'],[],['en'],Uruguay,churros,en,5.0,False
['Uruguay'],[],['en'],Uruguay,murga,en,5.0,True
['Argentina'],[],['en'],Argentina,good nature,en,5.0,False
['Argentina'],[],['en'],Costa Rica,good nature,en,5.0,True
['Argentina'],[],['en'],Argentina,good nature,en,3.0,False
['Argentina'],[],['en'],Uruguay,good nature,en,5.0,True
['Costa Rica'],[],['en'],Costa Rica,friendship,en,,False
['Costa Rica'],[],['en'],Nicaragua,friendship,en,5.0,True
['Costa Rica'],[],['en'],Costa Rica,gallo pinto,en,5.0,True
['Argentina'],[],['en'],Germany,bad humor,en,5.0,False
['Argentina'],[],['en'],Germany,fascism,en,5.0,True
['Uruguay'],[],['en'],Uruguay,murga,en,5.0,False
['Uruguay'],[],['en'],Uruguay,candombe,en,5.0,True
['Uruguay'],[],['en'],Uruguay,great soccer players,en,4.0,False
['Uruguay'],[],['en'],Brazil,great soccer players,en,5.0,True
['Uruguay'],[],['en'],Argentina,great soccer players,en,5.0,True
['Uruguay'],[],['en'],France,great soccer players,en,5.0,True
['Uruguay'],[],['en'],Italy,great soccer players,en,5.0,True
['Uruguay'],[],['en'],Germany,great soccer players,en,5.0,True
['Cuba'],[],['en'],Cuba,chiquitito,en,3.0,False
['Cuba'],[],['en'],Mexico,chiquitito,en,5.0,True
['Cuba'],[],['en'],Cuba,nice people,en,5.0,True
['Argentina'],[],['en'],Argentina,good education,en,4.0,False
['Uruguay'],[],['en'],Uruguay,rebel province,en,1.0,False
['Uruguay'],[],['en'],Uruguay,carnaval,en,5.0,True
['Argentina'],[],['en'],Argentina,good education,en,4.0,False
['Argentina'],[],['en'],United States,good education,en,5.0,True
['Argentina'],[],['en'],Argentina,great soccer players,en,5.0,False
['Argentina'],[],['en'],Argentina,good education,en,4.0,False
['Argentina'],[],['en'],Finland,good education,en,5.0,True
['Mexico'],[],['en'],Mexico,scammer,en,4.0,False
['Mexico'],[],['en'],Venezuela,scammer,en,5.0,True
['Uruguay'],[],['en'],Uruguay,churros,en,,False
['Uruguay'],[],['en'],Spain,churros,en,5.0,True
['Uruguay'],[],['en'],Argentina,churros,en,5.0,True
['Uruguay'],[],['en'],Uruguay,dulce de leche,en,5.0,True
['Uruguay'],[],['en'],Uruguay,rebel province,en,5.0,False
['Uruguay'],[],['en'],Panama,rebel province,en,5.0,True
['Argentina'],[],['en'],Argentina,good nature,en,1.0,False
['Argentina'],[],['en'],Colombia,good nature,en,5.0,True
['Argentina'],[],['en'],Argentina,argumentative,en,5.0,True
['Mexico'],[],['en'],Mexico,disregard for rules,en,3.0,False
['Argentina'],[],['en'],Argentina,great soccer players,en,5.0,False
['Argentina'],[],['en'],United Kingdom,great soccer players,en,5.0,True
['Argentina'],[],['en'],Argentina,great soccer players,en,5.0,False
['Argentina'],[],['en'],Brazil,great soccer players,en,5.0,True
['Spain'],[],['en'],Spain,play football,en,5.0,False
['Spain'],[],['en'],Brazil,play football,en,5.0,True
['Spain'],[],['en'],Argentina,play football,en,5.0,True
['Spain'],[],['en'],Spain,can dance flamenco,en,5.0,True
['Argentina'],[],['en'],Argentina,great soccer players,en,5.0,False
['Argentina'],[],['en'],Brazil,great soccer players,en,5.0,True
['Uruguay'],[],['en'],Uruguay,candombe,en,5.0,False
['Argentina'],[],['en'],Argentina,good education,en,3.0,False
['Argentina'],[],['en'],India,good education,en,5.0,True
['Argentina'],[],['en'],China,good education,en,5.0,True
['Argentina'],[],['en'],Argentina,play football,en,5.0,True
['Argentina'],[],['en'],Argentina,eat asado,en,5.0,True
['Argentina'],[],['en'],Argentina,maradona,en,5.0,True
['Argentina'],[],['en'],Argentina,churros,en,4.0,False
['Argentina'],[],['en'],Argentina,churros,en,5.0,False
['Argentina'],[],['en'],Argentina,play football,en,5.0,True
['Argentina'],[],['en'],Argentina,eat asado,en,5.0,True
['Argentina'],[],['en'],Argentina,maradona,en,5.0,True
['Argentina'],[],['en'],Argentina,argumentative,en,4.0,False
['Argentina'],[],['en'],Italy,argumentative,en,5.0,True
['Mexico'],[],['en'],Mexico,delicious gastronomy,en,5.0,False
['Mexico'],[],['en'],Italy,delicious gastronomy,en,5.0,True
['Mexico'],[],['en'],Japan,delicious gastronomy,en,5.0,True
['Cuba'],[],['en'],Cuba,spanish speaker,en,5.0,False
['Cuba'],[],['en'],Chile,spanish speaker,en,5.0,True
['Argentina'],[],['en'],Argentina,good nature,en,5.0,False
['Argentina'],[],['en'],Brazil,good nature,en,5.0,True
['Argentina'],[],['en'],Colombia,good nature,en,5.0,True
['Argentina'],[],['en'],Costa Rica,good nature,en,5.0,True
['Argentina'],[],['en'],Ecuador,good nature,en,5.0,True
['Argentina'],[],['en'],Argentina,argumentative,en,4.0,False
['Argentina'],[],['en'],Italy,argumentative,en,5.0,True
['Uruguay'],[],['en'],Uruguay,carnaval,en,5.0,False
['Uruguay'],[],['en'],Uruguay,rio,en,5.0,True
['Uruguay'],[],['en'],Uruguay,carnaval,en,5.0,False
['Uruguay'],[],['en'],Brazil,carnaval,en,5.0,True
['Uruguay'],[],['en'],Spain,carnaval,en,5.0,True
['Costa Rica'],[],['en'],Costa Rica,ecological,en,3.0,False
['Costa Rica'],[],['en'],Switzerland,ecological,en,5.0,True
['Costa Rica'],[],['en'],Costa Rica,tomar café,en,5.0,True
['Mexico'],[],['en'],Mexico,native population,en,5.0,False
['Mexico'],[],['en'],United States,native population,en,5.0,True
['Mexico'],[],['en'],Colombia,native population,en,5.0,True
['Mexico'],[],['en'],Canada,native population,en,5.0,True
['Mexico'],[],['en'],Spain,native population,en,5.0,True
['Argentina'],[],['en'],Argentina,argumentative,en,5.0,False
['Argentina'],[],['en'],Argentina,churros,en,2.0,False
['Argentina'],[],['en'],Argentina,football,en,5.0,True
['Argentina'],[],['en'],Argentina,beef,en,5.0,True
['Argentina'],[],['en'],Argentina,tango,en,5.0,True
['Argentina'],[],['en'],Argentina,mate,en,5.0,True
['Mexico'],[],['en'],Mexico,good at sex,en,5.0,False
['Uruguay'],[],['en'],Uruguay,carnaval,en,4.0,False
['Uruguay'],[],['en'],Brazil,carnaval,en,5.0,True
['Uruguay'],[],['en'],Uruguay,money laundary,en,5.0,True
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",Argentina,comida muy rica,es,5.0,False
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",Peru,comida muy rica,es,5.0,True
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",Brazil,comida muy rica,es,5.0,True
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",Argentina,fetnet,es,5.0,True
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",China,comida muy rica,es,4.0,False
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",Peru,comida muy rica,es,5.0,True
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",Argentina,comida muy rica,es,5.0,True
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",India,comida muy rica,es,5.0,True
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",Thailand,comida muy rica,es,5.0,True
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",Italy,comida muy rica,es,5.0,True
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",China,productos baratos,es,5.0,True
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",Peru,friendly,en,5.0,False
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",Argentina,friendly,en,5.0,True
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",Chile,friendly,en,5.0,True
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",Brazil,friendly,en,5.0,True
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",Uruguay,friendly,en,5.0,True
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",Colombia,friendly,en,5.0,True
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",Canada,friendly,en,5.0,True
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",Italy,friendly,en,5.0,True
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",Spain,friendly,en,5.0,True
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",Peru,friendly,en,5.0,True
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",Cuba,friendly,en,5.0,True
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",Mexico,friendly,en,5.0,True
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",Portugal,friendly,en,5.0,True
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",Peru,pisco,en,5.0,True
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",Bangladesh,against euthanasia,en,1.0,False
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",United States,against euthanasia,en,5.0,True
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",Chile,against euthanasia,en,5.0,True
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",Australia,los nacidos allí son más inteligentes,es,1.0,False
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",Australia,koalas,es,5.0,True
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",Australia,work and holiday,es,5.0,True
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",Barbados,no se cuidan,es,1.0,False
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",China,those born there are smarter,en,1.0,False
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",China,manofactura,en,5.0,True
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",Argentina,menos desarrollo intelectual,es,1.0,False
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",Argentina,universidad publica de calidad,es,5.0,True
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",China,have poor quality toys,en,3.0,False
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",Bolivia,give better advice,en,1.0,False
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",France,enjoy cooking,en,4.0,False
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",Peru,enjoy cooking,en,5.0,True
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",Mexico,enjoy cooking,en,5.0,True
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",Argentina,enjoy cooking,en,5.0,True
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",Italy,enjoy cooking,en,5.0,True
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",Spain,enjoy cooking,en,5.0,True
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",Brazil,enjoy cooking,en,5.0,True
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",France,usan perfume,en,5.0,True
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",Bolivia,dan mejores consejos,es,1.0,False
"['Chile', 'Argentina']","['Region Metropolitana (Chile)', 'Ciudad Autonoma de Buenos Aires (Argentina)']","['en', 'es']",Bolivia,callados,es,5.0,True
